06:57:44 | DEBUG    | execute | POST http://localhost:55585/session {'capabilities': {'firstMatch': [{}], 'alwaysMatch': {'browserName': 'chrome', 'pageLoadStrategy': <PageLoadStrategy.normal: 'normal'>, 'goog:chromeOptions': {'extensions': [], 'args': ['--headless=new', '--no-sandbox', '--disable-dev-shm-usage', '--disable-gpu', '--window-size=1920,1080', '--disable-extensions']}}}}
06:57:44 | DEBUG    | _new_conn | Starting new HTTP connection (1): localhost:55585
06:57:48 | DEBUG    | _make_request | http://localhost:55585 "POST /session HTTP/1.1" 200 0
06:57:48 | DEBUG    | _request | Remote response: status=200 | data={"value":{"capabilities":{"acceptInsecureCerts":false,"browserName":"chrome","browserVersion":"148.0.7778.167","chrome":{"chromedriverVersion":"148.0.7778.167 (65db666ac2cf205fcc36db8bb5b9cd87f94808ac-refs/branch-heads/7778@{#2783})","userDataDir":"/tmp/org.chromium.Chromium.scoped_dir.HvVY5O"},"fedcm:accounts":true,"goog:chromeOptions":{"debuggerAddress":"localhost:35623"},"goog:processID":2686,"networkConnectionEnabled":false,"pageLoadStrategy":"normal","platformName":"linux","proxy":{},"setWindowRect":true,"strictFileInteractability":false,"timeouts":{"implicit":0,"pageLoad":300000,"script":30000},"unhandledPromptBehavior":"dismiss and notify","webauthn:extension:credBlob":true,"webauthn:extension:largeBlob":true,"webauthn:extension:minPinLength":true,"webauthn:extension:prf":true,"webauthn:virtualAuthenticators":true},"sessionId":"dbe3dc080dc7aeadaa6b956ff0b76b17"}} | headers=HTTPHeaderDict({'Content-Length': '882', 'Content-Type': 'application/json; charset=utf-8', 'cache-control': 'no-cache'})
06:57:48 | DEBUG    | _request | Finished Request
06:57:48 | DEBUG    | execute | POST http://localhost:55585/session/dbe3dc080dc7aeadaa6b956ff0b76b17/timeouts {'implicit': 0}
06:57:48 | DEBUG    | _make_request | http://localhost:55585 "POST /session/dbe3dc080dc7aeadaa6b956ff0b76b17/timeouts HTTP/1.1" 200 0
06:57:48 | DEBUG    | _request | Remote response: status=200 | data={"value":null} | headers=HTTPHeaderDict({'Content-Length': '14', 'Content-Type': 'application/json; charset=utf-8', 'cache-control': 'no-cache'})
06:57:48 | DEBUG    | _request | Finished Request
06:57:48 | DEBUG    | open | Navigating to https://the-internet.herokuapp.com/login
06:57:48 | DEBUG    | execute | POST http://localhost:55585/session/dbe3dc080dc7aeadaa6b956ff0b76b17/url {'url': 'https://the-internet.herokuapp.com/login'}
06:57:49 | DEBUG    | _make_request | http://localhost:55585 "POST /session/dbe3dc080dc7aeadaa6b956ff0b76b17/url HTTP/1.1" 200 0
06:57:49 | DEBUG    | _request | Remote response: status=200 | data={"value":null} | headers=HTTPHeaderDict({'Content-Length': '14', 'Content-Type': 'application/json; charset=utf-8', 'cache-control': 'no-cache'})
06:57:49 | DEBUG    | _request | Finished Request
06:57:49 | DEBUG    | execute | POST http://localhost:55585/session/dbe3dc080dc7aeadaa6b956ff0b76b17/element {'using': 'css selector', 'value': '[id="username"]'}
06:57:49 | DEBUG    | _make_request | http://localhost:55585 "POST /session/dbe3dc080dc7aeadaa6b956ff0b76b17/element HTTP/1.1" 200 0
06:57:49 | DEBUG    | _request | Remote response: status=200 | data={"value":{"element-6066-11e4-a52e-4f735466cecf":"f.27B79BEFE26F7B2964DB45F4233C04B8.d.CAB76171CA934648B2FCF253E4D901A0.e.4"}} | headers=HTTPHeaderDict({'Content-Length': '125', 'Content-Type': 'application/json; charset=utf-8', 'cache-control': 'no-cache'})
06:57:49 | DEBUG    | _request | Finished Request
06:57:49 | DEBUG    | execute | POST http://localhost:55585/session/dbe3dc080dc7aeadaa6b956ff0b76b17/execute/sync {'script': '/* isDisplayed */return (function(){return (function(){/*\n\n Copyright The Closure Library Authors.\n ...', 'args': [{'element-6066-11e4-a52e-4f735466cecf': 'f.27B79BEFE26F7B2964DB45F4233C04B8.d.CAB76171CA934648B2FCF253E4D901A0.e.4'}]}
06:57:50 | DEBUG    | _make_request | http://localhost:55585 "POST /session/dbe3dc080dc7aeadaa6b956ff0b76b17/execute/sync HTTP/1.1" 200 0
06:57:50 | DEBUG    | _request | Remote response: status=200 | data={"value":true} | headers=HTTPHeaderDict({'Content-Length': '14', 'Content-Type': 'application/json; charset=utf-8', 'cache-control': 'no-cache'})
06:57:50 | DEBUG    | _request | Finished Request
06:57:50 | DEBUG    | execute | POST http://localhost:55585/session/dbe3dc080dc7aeadaa6b956ff0b76b17/element/f.27B79BEFE26F7B2964DB45F4233C04B8.d.CAB76171CA934648B2FCF253E4D901A0.e.4/clear {}
06:57:50 | DEBUG    | _make_request | http://localhost:55585 "POST /session/dbe3dc080dc7aeadaa6b956ff0b76b17/element/f.27B79BEFE26F7B2964DB45F4233C04B8.d.CAB76171CA934648B2FCF253E4D901A0.e.4/clear HTTP/1.1" 200 0
06:57:50 | DEBUG    | _request | Remote response: status=200 | data={"value":null} | headers=HTTPHeaderDict({'Content-Length': '14', 'Content-Type': 'application/json; charset=utf-8', 'cache-control': 'no-cache'})
06:57:50 | DEBUG    | _request | Finished Request
